Algorithm,Run_Index,Time_Enc_s,Time_Dec_s,NPCR_percent,UACI_percent,Entropy,Corr_Hor,Corr_Ver,Corr_Diag
DES-CBC (C),1,0.00077400,0.00065300,99.586487,33.385620,7.997504,-0.017697,-0.002715,-0.003925
DES-CBC (C),2,0.00079000,0.00063600,99.591064,33.440677,7.997166,-0.002184,0.003734,0.036881
DES-CBC (C),3,0.00076100,0.00063900,99.604797,33.408700,7.997318,-0.006630,-0.013890,-0.020236
DES-CBC (C),4,0.00075900,0.00064400,99.610901,33.413864,7.997550,0.000951,-0.011415,0.010742
DES-CBC (C),5,0.00079400,0.00063500,99.578857,33.600183,7.997588,-0.012656,0.019574,0.001570
DES-CBC (C),6,0.00083700,0.00063300,99.607849,33.675447,7.997386,-0.015613,0.011570,-0.010697
DES-CBC (C),7,0.00075600,0.00063900,99.606323,33.574386,7.997320,0.009193,0.000032,-0.017786
DES-CBC (C),8,0.00077100,0.00064700,99.557495,33.426113,7.997196,-0.004397,-0.019153,0.009264
DES-CBC (C),9,0.00079200,0.00063800,99.600220,33.421182,7.996558,-0.003427,0.007025,-0.028442
DES-CBC (C),10,0.00078600,0.00063100,99.612427,33.445488,7.997460,0.010342,0.013846,0.000101
DES-CBC (C),11,0.00076300,0.00063300,99.601746,33.427166,7.996909,-0.029588,0.020314,-0.006491
DES-CBC (C),12,0.00076100,0.00063600,99.606323,33.420219,7.997357,0.004588,-0.034825,-0.019358
DES-CBC (C),13,0.00079400,0.00063200,99.589539,33.406737,7.997163,0.001366,0.000107,-0.006829
DES-CBC (C),14,0.00076200,0.00063200,99.615479,33.417622,7.997254,-0.015454,-0.004846,0.017122
DES-CBC (C),15,0.00075800,0.00063400,99.630737,33.276900,7.997242,-0.007382,0.004196,0.011232
DES-CBC (C),16,0.00078900,0.00064600,99.638367,33.570425,7.996599,0.002518,-0.014303,-0.021351
DES-CBC (C),17,0.00079400,0.00064800,99.609375,33.419148,7.997132,-0.007851,0.022146,-0.016027
DES-CBC (C),18,0.00076100,0.00063700,99.588013,33.514374,7.996757,-0.002827,-0.007308,0.020331
DES-CBC (C),19,0.00076000,0.00063400,99.597168,33.292159,7.997622,0.022055,-0.006263,-0.003248
DES-CBC (C),20,0.00076200,0.00063100,99.621582,33.429524,7.996974,0.001493,0.003734,0.001856
DES-CBC (C),21,0.00075300,0.00063300,99.635315,33.565464,7.996907,0.006272,0.016118,0.017799
DES-CBC (C),22,0.00078700,0.00063400,99.621582,33.387086,7.996869,0.004421,0.015602,0.001940
DES-CBC (C),23,0.00075600,0.00063900,99.583435,33.536431,7.997271,-0.015378,-0.008079,0.030570
DES-CBC (C),24,0.00075900,0.00064000,99.591064,33.361523,7.996898,-0.013416,-0.000775,0.007511
DES-CBC (C),25,0.00079400,0.00063300,99.600220,33.601990,7.997173,0.026965,0.003954,0.003903
DES-CBC (C),26,0.00079200,0.00064800,99.588013,33.316782,7.997126,0.013851,0.021193,-0.001233
DES-CBC (C),27,0.00075900,0.00063300,99.653625,33.624758,7.997247,0.007876,0.016114,0.001483
DES-CBC (C),28,0.00079500,0.00064500,99.607849,33.466869,7.997135,-0.032583,0.039125,-0.013516
DES-CBC (C),29,0.00076100,0.00063600,99.615479,33.466025,7.997038,-0.016248,-0.012847,-0.020530
DES-CBC (C),30,0.00076200,0.00063700,99.633789,33.328433,7.996846,0.023673,-0.026000,0.033354
DES-CBC (C),31,0.00078500,0.00063300,99.607849,33.369793,7.997069,-0.008162,-0.004732,0.030281
DES-CBC (C),32,0.00075500,0.00064000,99.589539,33.423492,7.997095,-0.017311,0.012133,0.002997
DES-CBC (C),33,0.00078900,0.00063800,99.613953,33.513932,7.997440,0.014920,-0.001770,0.004264
DES-CBC (C),34,0.00078600,0.00062900,99.613953,33.436908,7.996941,0.004808,0.002139,0.002528
DES-CBC (C),35,0.00079200,0.00063200,99.617004,33.379786,7.997238,0.006828,-0.014943,-0.024693
DES-CBC (C),36,0.00075500,0.00063400,99.636841,33.339006,7.997242,-0.008131,-0.013730,0.002515
DES-CBC (C),37,0.00078800,0.00063700,99.597168,33.626051,7.997309,-0.005176,-0.002203,-0.002475
DES-CBC (C),38,0.00079300,0.00063100,99.578857,33.558505,7.997082,0.001191,-0.016872,-0.007737
DES-CBC (C),39,0.00077500,0.00064100,99.613953,33.299166,7.996817,0.005830,-0.012272,0.001112
DES-CBC (C),40,0.00079200,0.00063600,99.617004,33.515003,7.997179,0.041138,-0.011926,0.015530
DES-CBC (C),41,0.00075400,0.00063500,99.617004,33.510395,7.997098,0.005327,-0.002143,0.007860
DES-CBC (C),42,0.00079400,0.00064000,99.598694,33.449719,7.997384,-0.006966,-0.019559,-0.006860
DES-CBC (C),43,0.00078900,0.00064100,99.583435,33.496321,7.996948,-0.004416,-0.024321,0.000692
DES-CBC (C),44,0.00079400,0.00063100,99.603271,33.388229,7.997524,-0.015833,0.019958,-0.008622
DES-CBC (C),45,0.00079300,0.00063300,99.592590,33.473038,7.997164,0.027217,0.005286,0.001882
DES-CBC (C),46,0.00079500,0.00066600,99.612427,33.489613,7.996872,0.009845,0.005147,-0.008309
DES-CBC (C),47,0.00079400,0.00065100,99.612427,33.484204,7.997331,0.002010,0.006887,0.001257
DES-CBC (C),48,0.00079400,0.00063200,99.552917,33.514015,7.997097,-0.014454,-0.001988,-0.031727
DES-CBC (C),49,0.00079300,0.00063800,99.588013,33.436920,7.997294,0.001267,-0.023302,-0.018669
DES-CBC (C),50,0.00076300,0.00063600,99.545288,33.333046,7.997258,0.001908,-0.006232,0.029827
DES-CBC (C),51,0.00079300,0.00066800,99.575806,33.487704,7.996947,0.015137,-0.015012,-0.032098
DES-CBC (C),52,0.00076100,0.00063200,99.649048,33.486029,7.997420,-0.005486,0.003796,0.005747
DES-CBC (C),53,0.00076100,0.00063100,99.638367,33.568504,7.997317,0.015249,0.015601,-0.001644
DES-CBC (C),54,0.00078200,0.00063300,99.562073,33.474372,7.997072,-0.023175,-0.026074,-0.007983
DES-CBC (C),55,0.00076300,0.00063300,99.598694,33.547010,7.997168,0.008309,0.006528,0.014333
DES-CBC (C),56,0.00079300,0.00063300,99.626160,33.471243,7.997240,-0.005355,0.003987,0.009266
DES-CBC (C),57,0.00084100,0.00069700,99.612427,33.423773,7.997117,-0.014992,-0.002755,0.037016
DES-CBC (C),58,0.00076200,0.00063400,99.613953,33.355276,7.997761,-0.011609,0.003223,-0.003837
DES-CBC (C),59,0.00076400,0.00062900,99.612427,33.332352,7.997157,0.013492,-0.007247,-0.000051
DES-CBC (C),60,0.00079200,0.00063500,99.600220,33.312001,7.996889,0.024915,-0.018271,-0.003501
DES-CBC (C),61,0.00075700,0.00063600,99.609375,33.606873,7.997016,-0.001390,0.003767,-0.009665
DES-CBC (C),62,0.00076000,0.00063500,99.613953,33.459455,7.997486,0.033356,0.009535,-0.006471
DES-CBC (C),63,0.00079300,0.00063600,99.592590,33.527527,7.997394,0.013617,0.016660,-0.000956
DES-CBC (C),64,0.00076500,0.00063800,99.635315,33.436154,7.997108,-0.015309,0.000324,0.012172
DES-CBC (C),65,0.00075800,0.00063600,99.580383,33.557165,7.997454,-0.028898,0.000012,0.014828
DES-CBC (C),66,0.00078900,0.00064800,99.555969,33.449934,7.996977,0.011686,-0.010577,-0.003571
DES-CBC (C),67,0.00077400,0.00069200,99.615479,33.469346,7.997260,0.006258,0.006395,-0.001185
DES-CBC (C),68,0.00079200,0.00063100,99.592590,33.488692,7.997176,0.033552,0.009051,-0.004860
DES-CBC (C),69,0.00076000,0.00063100,99.624634,33.496321,7.996901,0.009543,-0.004979,0.006602
DES-CBC (C),70,0.00080400,0.00068000,99.595642,33.472404,7.997520,-0.016843,0.007005,-0.017494
DES-CBC (C),71,0.00076200,0.00063300,99.612427,33.506919,7.997831,0.017256,0.000853,-0.016131
DES-CBC (C),72,0.00075800,0.00063100,99.615479,33.452507,7.997512,0.005550,-0.007284,-0.005721
DES-CBC (C),73,0.00080500,0.00063400,99.633789,33.424928,7.996999,0.004541,-0.027303,-0.001721
DES-CBC (C),74,0.00076200,0.00063200,99.621582,33.517755,7.997084,0.015906,0.002448,0.003210
DES-CBC (C),75,0.00079400,0.00062800,99.618530,33.453028,7.997727,0.014625,0.000506,-0.033466
DES-CBC (C),76,0.00079300,0.00064200,99.607849,33.542911,7.997338,-0.000466,0.004614,-0.006770
DES-CBC (C),77,0.00076100,0.00063500,99.583435,33.392370,7.996632,-0.017212,-0.000558,-0.002531
DES-CBC (C),78,0.00080800,0.00066000,99.609375,33.493245,7.997235,-0.001914,0.001249,-0.035105
DES-CBC (C),79,0.00078900,0.00063800,99.624634,33.541469,7.997280,-0.023335,0.020794,0.006678
DES-CBC (C),80,0.00079400,0.00064600,99.644470,33.422217,7.996780,-0.011070,0.012805,0.004871
DES-CBC (C),81,0.00075600,0.00063500,99.615479,33.478244,7.996738,-0.006363,-0.002511,0.005210
DES-CBC (C),82,0.00079300,0.00063400,99.618530,33.517145,7.996824,-0.012082,-0.012369,-0.006169
DES-CBC (C),83,0.00079300,0.00063000,99.578857,33.622849,7.997016,0.004069,-0.000072,0.013599
DES-CBC (C),84,0.00076200,0.00062800,99.623108,33.627206,7.996792,0.015495,-0.016224,-0.002691
DES-CBC (C),85,0.00079000,0.00064100,99.624634,33.378828,7.997263,0.016994,-0.001194,-0.005838
DES-CBC (C),86,0.00079300,0.00063200,99.595642,33.324370,7.997060,0.025858,-0.001554,-0.017274
