Algorithm,Run_Index,Time_Enc_s,Time_Dec_s,NPCR_percent,UACI_percent,Entropy,Corr_Hor,Corr_Ver,Corr_Diag
DES-CBC (C),1,0.00077700,0.00066200,99.617004,33.516056,7.997168,0.008652,-0.015683,-0.007292
AES-CBC (C),1,0.00007200,0.00002700,99.591064,33.545933,7.997252,0.015152,0.008685,-0.002102
Blowfish-CBC (C),1,0.00046900,0.00037000,99.617004,33.612892,7.997157,0.013462,-0.012025,0.009364
ChaCha20 (C),1,0.00009500,0.00002800,0.001526,0.000006,7.996812,-0.023403,-0.013353,0.018227
DES-CBC (MATLAB*),1,1.08795600,0.01221300,98.837227,33.282420,7.989834,0.015232,0.027599,0.009002
AES-CBC (MATLAB*),1,0.40529200,0.01452800,99.597168,33.530387,7.997073,0.006417,-0.003376,-0.005385
Blowfish-CBC (MATLAB*),1,0.24694200,0.00965100,99.592590,33.395589,7.997562,0.014096,0.013184,0.019574
ChaCha20 (MATLAB*),1,0.00671200,0.00646700,0.001526,0.000006,7.997137,0.020447,-0.036716,-0.012598
Chaos Circular Shifts (MATLAB),1,0.01802200,0.02093000,99.583435,33.525570,7.997179,-0.012362,-0.000244,0.011380
3D-Logistic-Chirikov (MATLAB),1,0.48103200,0.47528500,0.000000,0.000000,7.997679,-0.010945,-0.009261,-0.036185
Chaos Bit Shuffling (MATLAB - Orig),1,2.02595900,2.29804100,99.574280,33.386422,7.997478,0.010566,-0.003253,-0.014347
Chaos Bit Shuffling (MATLAB* - Opt),1,0.26432500,0.20335800,99.597168,33.528065,7.996615,0.018774,0.015616,-0.007094
Hyperchaotic and 2D Sensing (MATLAB*),1,0.02006100,0.00214200,99.681091,33.469705,7.996667,-0.015437,0.010320,0.010792
Hu & Tian - Two-Stage Logistic (MATLAB*),1,0.00634600,0.00526500,0.001526,0.000006,7.997528,0.003314,0.032935,0.008720
Hyperchaotic Adaptive (MATLAB*),1,0.29536200,0.32107700,99.638367,33.701064,7.984898,-0.022190,-0.003791,0.022271
