Plik,Algorytm,Przebieg,Czas_Szyfr,Czas_Deszyfr,Entropia,Kor_Poz,Kor_Pion,Kor_Diag,Kor_Srednia
images/lena_gray_256.tif,DES-CBC (C),1,0.00070867,0.00062800,7.99711076,0.00303206,-0.01858983,0.01301701,-0.00084692
images/lena_gray_256.tif,AES-CBC (C),1,0.00005400,0.00001200,7.99760262,-0.02836910,-0.00160133,0.01217991,-0.00593018
images/lena_gray_256.tif,Blowfish-CBC (C),1,0.00039300,0.00036000,7.99695112,-0.01104398,0.02250112,0.01324215,0.00823309
images/lena_gray_256.tif,ChaCha20 (C),1,0.00001867,0.00001500,7.99715257,-0.00376628,-0.00610883,0.00453723,-0.00177929
images/lena_gray_256.tif,DES-CBC (MATLAB*),1,1.02696400,0.00388000,7.99016604,0.02295977,0.03082507,0.02269087,0.02549190
images/lena_gray_256.tif,AES-CBC (MATLAB*),1,0.39683967,0.01424900,7.99683924,0.01517978,0.00287949,0.00851051,0.00885659
images/lena_gray_256.tif,Blowfish-CBC (MATLAB*),1,0.23308233,0.00325800,7.99703064,-0.02989106,-0.00437366,-0.02577716,-0.02001396
images/lena_gray_256.tif,ChaCha20 (MATLAB*),1,0.00688900,0.00664200,7.99738774,0.00340137,-0.00170026,-0.00768520,-0.00199470
images/lena_gray_256.tif,Chaos Circular Shifts (MATLAB),1,0.01467733,0.01706000,7.99718322,0.01002362,0.01832824,0.00033486,0.00956224
images/lena_gray_256.tif,3D-Logistic-Chirikov (MATLAB),1,0.46140800,0.44678100,7.99773461,0.00656468,0.01708840,-0.00577762,0.00595849
images/lena_gray_256.tif,Chaos Bit Shuffling (MATLAB - Orig),1,1.14634067,1.56952500,7.99707954,0.01469870,0.01337915,-0.02392430,0.00138452
images/lena_gray_256.tif,Chaos Bit Shuffling (MATLAB* - Opt),1,0.26339267,0.20108700,7.99666237,0.01218166,0.00204833,-0.00006250,0.00472250
images/lena_gray_256.tif,Hyperchaotic and 2D Sensing (MATLAB*),1,0.01963967,0.00196900,7.99771915,-0.01694849,0.01006040,0.01644031,0.00318407
images/lena_gray_256.tif,Hu & Tian - Two-Stage Logistic (MATLAB*),1,0.00588933,0.00564500,7.99746774,-0.00960854,0.00483419,0.02088785,0.00537117
images/lena_gray_256.tif,Hyperchaotic Adaptive (MATLAB*),1,0.32310733,0.34998400,7.99936470,-0.00443940,-0.00335140,0.00705588,-0.00024497
