Image_File,Algorithm,Run_Index,Time_Enc_s,Time_Dec_s,NPCR_percent,UACI_percent,Entropy,Corr_Hor,Corr_Ver,Corr_Diag
images/pl23_con00216.jpg,ChaCha20 (MATLAB*),3,0.25292100,0.21169200,0.000041,0.000000,7.999926,0.019632,0.015207,-0.025079
images/pl23_con00216.jpg,ChaCha20 (MATLAB*),4,0.20926000,0.20890300,0.000041,0.000000,7.999912,0.015116,0.022309,0.000278
images/pl23_con00216.jpg,ChaCha20 (MATLAB*),5,0.21155300,0.21037100,0.000041,0.000000,7.999928,0.019056,-0.024710,-0.015649
images/pl23_con00216.jpg,Chaos Circular Shifts (MATLAB),1,0.50934100,0.65674100,99.608765,33.464334,7.999931,-0.030360,-0.000650,-0.035000
images/pl23_con00216.jpg,Chaos Circular Shifts (MATLAB),2,0.50843800,0.64895100,99.608765,33.464334,7.999931,0.005200,0.001861,-0.029721
images/pl23_con00216.jpg,Chaos Circular Shifts (MATLAB),3,0.49055500,0.64625500,99.608765,33.464334,7.999931,-0.010242,-0.018096,-0.024187
images/pl23_con00216.jpg,Chaos Circular Shifts (MATLAB),4,0.49056400,0.64973800,99.608765,33.464334,7.999931,0.011602,0.016404,0.010816
images/pl23_con00216.jpg,Chaos Circular Shifts (MATLAB),5,0.49349800,0.65340700,99.608765,33.464334,7.999931,-0.024893,-0.003523,-0.017280
images/pl23_con00216.jpg,3D-Logistic-Chirikov (MATLAB),1,20.17112900,20.22691700,0.000041,0.000000,7.999902,-0.006265,0.019833,0.000541
images/pl23_con00216.jpg,3D-Logistic-Chirikov (MATLAB),2,20.30598200,19.95371900,0.000041,0.000003,7.999903,0.000932,0.007333,-0.010410
images/pl23_con00216.jpg,3D-Logistic-Chirikov (MATLAB),3,20.76998500,20.98450500,0.000041,0.000000,7.999924,0.003336,-0.007973,-0.028779
images/pl23_con00216.jpg,3D-Logistic-Chirikov (MATLAB),4,22.06430700,21.96668200,0.000041,0.000000,7.999913,-0.005480,-0.007212,-0.027827
images/pl23_con00216.jpg,3D-Logistic-Chirikov (MATLAB),5,21.15160500,20.78076000,0.000041,0.000005,7.999920,0.011153,-0.006492,-0.023795
images/pl23_con00216.jpg,Chaos Bit Shuffling (MATLAB - Orig),1,85.83075000,224.21389000,99.608765,33.430021,7.999928,0.026669,0.001930,-0.007586
images/pl23_con00216.jpg,Chaos Bit Shuffling (MATLAB - Orig),2,86.13605100,227.42302800,99.608765,33.430021,7.999928,0.030675,-0.017069,-0.000431
images/pl23_con00216.jpg,Chaos Bit Shuffling (MATLAB - Orig),3,86.13098900,231.35741800,99.608765,33.430021,7.999928,0.011558,0.005599,-0.009284
images/pl23_con00216.jpg,Chaos Bit Shuffling (MATLAB - Orig),4,86.22244000,231.60201200,99.608765,33.430021,7.999928,0.015387,0.012788,-0.003511
images/pl23_con00216.jpg,Chaos Bit Shuffling (MATLAB - Orig),5,86.13459200,237.96116600,99.608765,33.430021,7.999928,0.001589,-0.015355,0.015218
images/pl23_con00216.jpg,Chaos Bit Shuffling (MATLAB* - Opt),1,11.95751400,8.76858000,99.605021,33.436715,7.999918,-0.008092,0.014796,0.000903
images/pl23_con00216.jpg,Chaos Bit Shuffling (MATLAB* - Opt),2,11.96244600,8.76711000,99.605021,33.436715,7.999918,0.012904,-0.004057,0.018111
images/pl23_con00216.jpg,Chaos Bit Shuffling (MATLAB* - Opt),3,11.95748900,8.76760100,99.605021,33.436715,7.999918,-0.007563,0.013048,-0.006530
