Parametr_a,LE1,LE2
0,-23.0258509299407,-23.0258509299407
0.10016694490818,6.45708488773937,-1.83297327838155
0.200333889816361,6.49774693366037,-1.1334595480281
0.300500834724541,6.52788818937968,-0.707584717506657
0.400667779632721,6.48678628053216,-0.38052690365029
0.500834724540901,6.69237236793523,-0.255626015587827
0.601001669449082,6.35592929789781,-0.0506870008867079
0.701168614357262,6.66585529935857,0.0952577683532584
0.801335559265442,6.44500476380794,0.248731795960333
0.901502504173623,6.69074622644453,0.418260027886682
1.0016694490818,6.71971238392518,0.467733178235762
1.10183639398998,7.00037863495281,0.559040202296764
1.20200333889816,6.67737393917317,0.686823886986544
1.30217028380634,6.62384806667547,0.737542327270067
1.40233722871452,6.77918638598739,0.818462506742198
1.5025041736227,6.65502326337479,0.87996620516757
1.60267111853088,6.86421248258382,0.938871539322802
1.70283806343907,6.6884116004848,1.03313411225526
1.80300500834725,6.61301316753827,1.10832596265333
1.90317195325543,6.74969568823714,1.16234469660659
2.00333889816361,6.66680416324077,1.19620314770367
2.10350584307179,6.87517753806996,1.22638092311566
2.20367278797997,6.69654240565346,1.30394210040793
2.30383973288815,6.64310295449643,1.3371499204392
2.40400667779633,6.53569251831949,1.29668063037617
2.50417362270451,6.52992941361293,1.37015495947004
2.60434056761269,6.69673475166318,1.36677539102178
2.70450751252087,6.34767393871056,1.47926205148335
2.80467445742905,6.52424607443598,1.54401329735134
2.90484140233723,6.69747925285065,1.5802860787256
3.00500834724541,6.65204791831681,1.58570481110898
3.10517529215359,6.64189867741655,1.57265282970218
3.20534223706177,6.59967114858075,1.68918181521465
3.30550918196995,6.60055591626304,1.6594936513048
3.40567612687813,6.66780495709549,1.70122922130246
3.50584307178631,6.61423826718486,1.74107603169977
3.60601001669449,6.66462901664447,1.71161446931071
3.70617696160267,6.55814414383535,1.82384543251323
3.80634390651085,6.48471426340579,1.8394978998397
3.90651085141903,6.61112698287753,1.81898414748789
4.00667779632721,6.6400083295833,1.87114145166197
4.10684474123539,6.50504784907086,1.80882892245766
4.20701168614357,6.52616496173317,1.92107798977779
4.30717863105175,6.58203900055935,1.94633743642885
4.40734557595993,6.64498767391918,2.01259234763611
4.50751252086811,6.58220515706904,2.00266898433511
4.60767946577629,6.66839011715131,2.02103536586825
4.70784641068447,6.70075245937396,2.02365373963563
4.80801335559265,6.78156811806476,2.06425541652911
4.90818030050083,6.56150566820553,2.05020415863082
5.00834724540902,6.525203186591,2.10509168157846
5.1085141903172,6.67923444249867,2.09621847542433
5.20868113522538,6.53149878058802,2.15252887171923
5.30884808013356,6.52410978012949,2.13398110915495
