Algorithm,Attack_Type,Intensity,PSNR,SSIM,SD
DES-CBC (C),contiguous_crop,0.100000,18.614472,0.893896,1362.135628
DES-CBC (C),contiguous_crop,0.250000,13.853193,0.747214,2206.304738
DES-CBC (C),contiguous_crop,0.500000,10.716759,0.498869,3382.408914
DES-CBC (C),contiguous_crop,0.750000,9.384307,0.253324,4121.217788
DES-CBC (C),crop,0.100000,5.659277,0.000286,4058.450300
DES-CBC (C),crop,0.250000,5.659277,0.000286,4058.450300
DES-CBC (C),crop,0.500000,5.659277,0.000286,4058.450300
DES-CBC (C),crop,0.750000,5.659277,0.000286,4058.450300
DES-CBC (C),tamper,0.100000,19.574642,0.891635,5566.207828
DES-CBC (C),tamper,0.250000,15.406320,0.746041,8879.451196
DES-CBC (C),tamper,0.500000,12.356590,0.496082,12619.143776
DES-CBC (C),tamper,0.750000,10.482918,0.247360,15585.488196
DES-CBC (C),salt_pepper,0.050000,5.659277,0.000286,4058.450300
DES-CBC (C),salt_pepper,0.100000,5.659277,0.000286,4058.450300
DES-CBC (C),salt_pepper,0.250000,5.659277,0.000286,4058.450300
DES-CBC (C),salt_pepper,0.500000,5.659277,0.000286,4058.450300
DES-CBC (C),gaussian,0.000010,5.659277,0.000286,4058.450300
DES-CBC (C),gaussian,0.000100,5.659277,0.000286,4058.450300
DES-CBC (C),gaussian,0.001000,5.659277,0.000286,4058.450300
DES-CBC (C),gaussian,0.010000,5.659277,0.000286,4058.450300
AES-CBC (C),contiguous_crop,0.100000,19.743797,0.891972,1690.485594
AES-CBC (C),contiguous_crop,0.250000,15.727361,0.747170,2373.466163
AES-CBC (C),contiguous_crop,0.500000,12.636983,0.498375,3543.719157
AES-CBC (C),contiguous_crop,0.750000,10.739434,0.251358,4302.560506
AES-CBC (C),crop,0.100000,5.659277,0.000286,4058.450300
AES-CBC (C),crop,0.250000,5.659277,0.000286,4058.450300
AES-CBC (C),crop,0.500000,5.659277,0.000286,4058.450300
AES-CBC (C),crop,0.750000,5.659277,0.000286,4058.450300
AES-CBC (C),tamper,0.100000,19.531139,0.890773,5639.551010
AES-CBC (C),tamper,0.250000,15.451083,0.744311,8865.951381
AES-CBC (C),tamper,0.500000,12.362713,0.493180,12646.953076
AES-CBC (C),tamper,0.750000,10.520528,0.245924,15559.451660
AES-CBC (C),salt_pepper,0.050000,5.659277,0.000286,4058.450300
AES-CBC (C),salt_pepper,0.100000,5.659277,0.000286,4058.450300
AES-CBC (C),salt_pepper,0.250000,5.659277,0.000286,4058.450300
AES-CBC (C),salt_pepper,0.500000,5.659277,0.000286,4058.450300
AES-CBC (C),gaussian,0.000010,5.659277,0.000286,4058.450300
AES-CBC (C),gaussian,0.000100,5.659277,0.000286,4058.450300
AES-CBC (C),gaussian,0.001000,5.659277,0.000286,4058.450300
AES-CBC (C),gaussian,0.010000,5.659277,0.000286,4058.450300
Blowfish-CBC (C),contiguous_crop,0.100000,20.184462,0.897284,1213.454909
Blowfish-CBC (C),contiguous_crop,0.250000,15.146407,0.750478,2085.369343
Blowfish-CBC (C),contiguous_crop,0.500000,11.975320,0.504771,3264.515856
Blowfish-CBC (C),contiguous_crop,0.750000,10.782322,0.263340,3984.401209
Blowfish-CBC (C),crop,0.100000,5.659277,0.000286,4058.450300
