Algorithm,Attack_Type,Intensity,PSNR,SSIM,SD
DES-CBC (C),contiguous_crop,0.100000,20.513582,0.892964,1301.579218
DES-CBC (C),contiguous_crop,0.250000,16.039963,0.747296,2111.322884
DES-CBC (C),contiguous_crop,0.500000,12.898645,0.498447,3299.483267
DES-CBC (C),contiguous_crop,0.750000,11.295658,0.251311,4046.551020
DES-CBC (C),crop,0.100000,11.377748,0.074491,14576.866147
DES-CBC (C),crop,0.250000,5.659277,0.000286,4058.450300
DES-CBC (C),crop,0.500000,5.659277,0.000286,4058.450300
DES-CBC (C),crop,0.750000,5.659277,0.000286,4058.450300
DES-CBC (C),tamper,0.100000,19.624302,0.892020,5482.796516
DES-CBC (C),tamper,0.250000,15.505574,0.745415,8775.427356
DES-CBC (C),tamper,0.500000,12.376047,0.495334,12583.479361
DES-CBC (C),tamper,0.750000,10.553108,0.247627,15473.721981
DES-CBC (C),salt_pepper,0.050000,13.591406,0.164949,11529.206992
DES-CBC (C),salt_pepper,0.100000,5.659277,0.000286,4058.450300
DES-CBC (C),salt_pepper,0.250000,5.659277,0.000286,4058.450300
DES-CBC (C),salt_pepper,0.500000,5.659277,0.000286,4058.450300
DES-CBC (C),gaussian,0.000010,5.659277,0.000286,4058.450300
DES-CBC (C),gaussian,0.000100,5.659277,0.000286,4058.450300
DES-CBC (C),gaussian,0.001000,5.659277,0.000286,4058.450300
DES-CBC (C),gaussian,0.010000,5.659277,0.000286,4058.450300
AES-CBC (C),contiguous_crop,0.100000,19.818938,0.891053,1645.992081
AES-CBC (C),contiguous_crop,0.250000,16.181935,0.746624,2311.747854
AES-CBC (C),contiguous_crop,0.500000,13.118718,0.496733,3473.605446
AES-CBC (C),contiguous_crop,0.750000,10.924494,0.250526,4237.245935
AES-CBC (C),crop,0.100000,5.659277,0.000286,4058.450300
AES-CBC (C),crop,0.250000,5.659277,0.000286,4058.450300
AES-CBC (C),crop,0.500000,5.659277,0.000286,4058.450300
AES-CBC (C),crop,0.750000,5.659277,0.000286,4058.450300
AES-CBC (C),tamper,0.100000,19.489519,0.891102,5593.234254
AES-CBC (C),tamper,0.250000,15.462768,0.745018,8803.702946
AES-CBC (C),tamper,0.500000,12.361473,0.494269,12583.149344
AES-CBC (C),tamper,0.750000,10.536826,0.247640,15446.113300
AES-CBC (C),salt_pepper,0.050000,11.525124,0.081973,14289.375604
AES-CBC (C),salt_pepper,0.100000,5.659277,0.000286,4058.450300
AES-CBC (C),salt_pepper,0.250000,5.659277,0.000286,4058.450300
AES-CBC (C),salt_pepper,0.500000,5.659277,0.000286,4058.450300
AES-CBC (C),gaussian,0.000010,5.659277,0.000286,4058.450300
AES-CBC (C),gaussian,0.000100,5.659277,0.000286,4058.450300
AES-CBC (C),gaussian,0.001000,5.659277,0.000286,4058.450300
AES-CBC (C),gaussian,0.010000,5.659277,0.000286,4058.450300
Blowfish-CBC (C),contiguous_crop,0.100000,19.699404,0.893676,1320.553045
Blowfish-CBC (C),contiguous_crop,0.250000,14.918996,0.746326,2148.892895
Blowfish-CBC (C),contiguous_crop,0.500000,11.766843,0.496537,3322.994145
Blowfish-CBC (C),contiguous_crop,0.750000,10.419967,0.249612,4052.464351
Blowfish-CBC (C),crop,0.100000,5.659277,0.000286,4058.450300
Blowfish-CBC (C),crop,0.250000,5.659277,0.000286,4058.450300
Blowfish-CBC (C),crop,0.500000,5.659277,0.000286,4058.450300
Blowfish-CBC (C),crop,0.750000,5.659277,0.000286,4058.450300
Blowfish-CBC (C),tamper,0.100000,19.575656,0.891255,5559.361934
Blowfish-CBC (C),tamper,0.250000,15.449684,0.744337,8840.518829
Blowfish-CBC (C),tamper,0.500000,12.348758,0.493144,12661.086821
Blowfish-CBC (C),tamper,0.750000,10.497860,0.245148,15584.874672
Blowfish-CBC (C),salt_pepper,0.050000,5.659277,0.000286,4058.450300
Blowfish-CBC (C),salt_pepper,0.100000,5.659277,0.000286,4058.450300
Blowfish-CBC (C),salt_pepper,0.250000,5.659277,0.000286,4058.450300
Blowfish-CBC (C),salt_pepper,0.500000,5.659277,0.000286,4058.450300
Blowfish-CBC (C),gaussian,0.000010,5.659277,0.000286,4058.450300
Blowfish-CBC (C),gaussian,0.000100,5.659277,0.000286,4058.450300
Blowfish-CBC (C),gaussian,0.001000,5.659277,0.000286,4058.450300
Blowfish-CBC (C),gaussian,0.010000,5.659277,0.000286,4058.450300
ChaCha20 (C),contiguous_crop,0.100000,19.579452,0.891964,5582.073967
ChaCha20 (C),contiguous_crop,0.250000,15.468199,0.744992,8836.218551
ChaCha20 (C),contiguous_crop,0.500000,12.371009,0.495120,12633.003818
ChaCha20 (C),contiguous_crop,0.750000,10.528989,0.248521,15542.290634
ChaCha20 (C),crop,0.100000,19.200520,0.393540,6310.677836
ChaCha20 (C),crop,0.250000,15.245202,0.199200,9827.371168
ChaCha20 (C),crop,0.500000,12.278672,0.093380,13465.192357
ChaCha20 (C),crop,0.750000,10.491782,0.042552,16043.309841
ChaCha20 (C),tamper,0.100000,19.512061,0.891733,5624.372215
ChaCha20 (C),tamper,0.250000,15.416162,0.745732,8858.992646
ChaCha20 (C),tamper,0.500000,12.385060,0.494718,12601.456486
ChaCha20 (C),tamper,0.750000,10.518795,0.247437,15516.809973
ChaCha20 (C),salt_pepper,0.050000,22.516000,0.591243,4321.076808
ChaCha20 (C),salt_pepper,0.100000,19.160945,0.394744,6331.062442
ChaCha20 (C),salt_pepper,0.250000,15.278970,0.201312,9767.149345
ChaCha20 (C),salt_pepper,0.500000,12.215349,0.093353,13539.973746
ChaCha20 (C),gaussian,0.000010,29.636614,0.832195,1907.609220
ChaCha20 (C),gaussian,0.000100,24.489279,0.620994,3444.068053
ChaCha20 (C),gaussian,0.001000,19.584280,0.379175,6032.051659
ChaCha20 (C),gaussian,0.010000,15.245371,0.204434,9826.509868
