Algorithm,Attack_Type,Intensity,PSNR,SSIM,SD
DES-CBC (C),contiguous_crop,0.100000,18.600490,0.880843,1890.392263
DES-CBC (C),contiguous_crop,0.200000,15.534430,0.782057,2374.133813
DES-CBC (C),contiguous_crop,0.300000,13.639117,0.684645,2832.906730
DES-CBC (C),contiguous_crop,0.500000,11.391584,0.486166,3641.597242
DES-CBC (C),crop,0.100000,5.659277,0.000286,4058.450300
DES-CBC (C),crop,0.200000,5.659277,0.000286,4058.450300
DES-CBC (C),crop,0.300000,5.659277,0.000286,4058.450300
DES-CBC (C),crop,0.500000,5.659277,0.000286,4058.450300
DES-CBC (C),tamper,0.100000,19.580086,0.881577,5684.271518
DES-CBC (C),tamper,0.200000,16.474564,0.784218,7983.967071
DES-CBC (C),tamper,0.300000,14.525628,0.686449,9807.714702
DES-CBC (C),tamper,0.500000,12.189765,0.485984,12809.088196
DES-CBC (C),salt_pepper,0.010000,19.608140,0.547270,5890.867940
DES-CBC (C),salt_pepper,0.050000,5.659277,0.000286,4058.450300
DES-CBC (C),salt_pepper,0.100000,5.659277,0.000286,4058.450300
DES-CBC (C),salt_pepper,0.200000,5.659277,0.000286,4058.450300
DES-CBC (C),gaussian,0.000010,5.659277,0.000286,4058.450300
DES-CBC (C),gaussian,0.000100,5.659277,0.000286,4058.450300
DES-CBC (C),gaussian,0.001000,5.659277,0.000286,4058.450300
DES-CBC (C),gaussian,0.010000,5.659277,0.000286,4058.450300
AES-CBC (C),contiguous_crop,0.100000,19.797697,0.884392,2003.478677
AES-CBC (C),contiguous_crop,0.200000,16.666270,0.785623,2445.966148
AES-CBC (C),contiguous_crop,0.300000,14.709565,0.688518,2932.302029
AES-CBC (C),contiguous_crop,0.500000,12.437255,0.491513,3749.588582
AES-CBC (C),crop,0.100000,5.659277,0.000286,4058.450300
AES-CBC (C),crop,0.200000,5.659277,0.000286,4058.450300
AES-CBC (C),crop,0.300000,5.659277,0.000286,4058.450300
AES-CBC (C),crop,0.500000,5.659277,0.000286,4058.450300
AES-CBC (C),tamper,0.100000,19.625289,0.882400,5668.041518
AES-CBC (C),tamper,0.200000,16.461209,0.782439,7986.541700
AES-CBC (C),tamper,0.300000,14.508576,0.685489,9796.368190
AES-CBC (C),tamper,0.500000,12.220905,0.486677,12763.941543
AES-CBC (C),salt_pepper,0.010000,17.519689,0.429202,7374.324302
AES-CBC (C),salt_pepper,0.050000,5.659277,0.000286,4058.450300
AES-CBC (C),salt_pepper,0.100000,5.659277,0.000286,4058.450300
AES-CBC (C),salt_pepper,0.200000,5.659277,0.000286,4058.450300
AES-CBC (C),gaussian,0.000010,5.659277,0.000286,4058.450300
AES-CBC (C),gaussian,0.000100,5.659277,0.000286,4058.450300
AES-CBC (C),gaussian,0.001000,5.659277,0.000286,4058.450300
AES-CBC (C),gaussian,0.010000,5.659277,0.000286,4058.450300
Blowfish-CBC (C),contiguous_crop,0.100000,19.635718,0.883060,1809.093746
Blowfish-CBC (C),contiguous_crop,0.200000,16.659020,0.785232,2277.206648
Blowfish-CBC (C),contiguous_crop,0.300000,14.793413,0.688582,2743.602385
Blowfish-CBC (C),contiguous_crop,0.500000,12.641600,0.490176,3552.310392
Blowfish-CBC (C),crop,0.100000,5.659277,0.000286,4058.450300
Blowfish-CBC (C),crop,0.200000,5.659277,0.000286,4058.450300
Blowfish-CBC (C),crop,0.300000,5.659277,0.000286,4058.450300
Blowfish-CBC (C),crop,0.500000,5.659277,0.000286,4058.450300
Blowfish-CBC (C),tamper,0.100000,19.562644,0.882673,5657.954556
Blowfish-CBC (C),tamper,0.200000,16.501677,0.783278,7982.359260
Blowfish-CBC (C),tamper,0.300000,14.489601,0.685534,9873.391704
Blowfish-CBC (C),tamper,0.500000,12.179231,0.486331,12779.871878
Blowfish-CBC (C),salt_pepper,0.010000,5.659277,0.000286,4058.450300
Blowfish-CBC (C),salt_pepper,0.050000,5.659277,0.000286,4058.450300
Blowfish-CBC (C),salt_pepper,0.100000,5.659277,0.000286,4058.450300
Blowfish-CBC (C),salt_pepper,0.200000,5.659277,0.000286,4058.450300
Blowfish-CBC (C),gaussian,0.000010,5.659277,0.000286,4058.450300
Blowfish-CBC (C),gaussian,0.000100,5.659277,0.000286,4058.450300
Blowfish-CBC (C),gaussian,0.001000,5.659277,0.000286,4058.450300
Blowfish-CBC (C),gaussian,0.010000,5.659277,0.000286,4058.450300
ChaCha20 (C),contiguous_crop,0.100000,19.566988,0.882806,5634.419515
ChaCha20 (C),contiguous_crop,0.200000,16.435577,0.782602,7964.180130
ChaCha20 (C),contiguous_crop,0.300000,14.501334,0.685163,9794.871793
ChaCha20 (C),contiguous_crop,0.500000,12.182874,0.486600,12771.005879
ChaCha20 (C),crop,0.100000,19.157589,0.398380,6339.240820
ChaCha20 (C),crop,0.200000,16.264220,0.240507,8778.318758
ChaCha20 (C),crop,0.300000,14.438395,0.167698,10705.680717
ChaCha20 (C),crop,0.500000,12.224320,0.091673,13543.622673
ChaCha20 (C),tamper,0.100000,19.522873,0.882773,5694.900275
ChaCha20 (C),tamper,0.200000,16.465671,0.783382,8005.619631
ChaCha20 (C),tamper,0.300000,14.511609,0.685789,9825.446771
ChaCha20 (C),tamper,0.500000,12.202010,0.488032,12783.417032
ChaCha20 (C),salt_pepper,0.010000,29.186416,0.881440,2012.828786
ChaCha20 (C),salt_pepper,0.050000,22.207095,0.579647,4476.671363
ChaCha20 (C),salt_pepper,0.100000,19.104658,0.392213,6384.128384
ChaCha20 (C),salt_pepper,0.200000,16.280659,0.243499,8737.897416
ChaCha20 (C),gaussian,0.000010,29.587145,0.836096,1919.596117
ChaCha20 (C),gaussian,0.000100,24.387557,0.619230,3491.613683
ChaCha20 (C),gaussian,0.001000,19.621534,0.380223,6011.791357
ChaCha20 (C),gaussian,0.010000,15.241183,0.200414,9835.368625
DES-CBC (MATLAB),contiguous_crop,0.100000,18.053790,0.881082,1914.040724
DES-CBC (MATLAB),contiguous_crop,0.200000,15.189883,0.783275,2362.815926
DES-CBC (MATLAB),contiguous_crop,0.300000,13.453926,0.687223,2817.552774
DES-CBC (MATLAB),contiguous_crop,0.500000,11.431521,0.488837,3654.894588
DES-CBC (MATLAB),crop,0.100000,5.659277,0.000286,4058.450300
DES-CBC (MATLAB),crop,0.200000,9.880362,0.026498,16897.287965
DES-CBC (MATLAB),crop,0.300000,5.659277,0.000286,4058.450300
DES-CBC (MATLAB),crop,0.500000,5.659277,0.000286,4058.450300
DES-CBC (MATLAB),tamper,0.100000,19.536722,0.882532,5651.018305
DES-CBC (MATLAB),tamper,0.200000,16.424354,0.783121,8027.352724
DES-CBC (MATLAB),tamper,0.300000,14.482585,0.685796,9845.746692
DES-CBC (MATLAB),tamper,0.500000,12.181896,0.486997,12775.597222
DES-CBC (MATLAB),salt_pepper,0.010000,19.961461,0.568501,5665.883768
DES-CBC (MATLAB),salt_pepper,0.050000,13.513636,0.163380,11631.533567
DES-CBC (MATLAB),salt_pepper,0.100000,11.392465,0.077688,14578.894327
DES-CBC (MATLAB),salt_pepper,0.200000,5.659277,0.000286,4058.450300
DES-CBC (MATLAB),gaussian,0.000010,5.659277,0.000286,4058.450300
DES-CBC (MATLAB),gaussian,0.000100,5.659277,0.000286,4058.450300
DES-CBC (MATLAB),gaussian,0.001000,5.659277,0.000286,4058.450300
DES-CBC (MATLAB),gaussian,0.010000,5.659277,0.000286,4058.450300
AES-CBC (MATLAB),contiguous_crop,0.100000,19.797697,0.884392,2003.478677
AES-CBC (MATLAB),contiguous_crop,0.200000,16.666270,0.785623,2445.966148
AES-CBC (MATLAB),contiguous_crop,0.300000,14.709565,0.688518,2932.302029
AES-CBC (MATLAB),contiguous_crop,0.500000,12.437255,0.491513,3749.588582
AES-CBC (MATLAB),crop,0.100000,10.034322,0.032132,16599.310473
AES-CBC (MATLAB),crop,0.200000,9.298706,0.011759,17778.877047
AES-CBC (MATLAB),crop,0.300000,9.252712,0.010735,17892.120566
AES-CBC (MATLAB),crop,0.500000,9.248869,0.010640,17906.929308
AES-CBC (MATLAB),tamper,0.100000,19.625289,0.882400,5668.041518
AES-CBC (MATLAB),tamper,0.200000,16.461209,0.782439,7986.541700
AES-CBC (MATLAB),tamper,0.300000,14.508576,0.685489,9796.368190
AES-CBC (MATLAB),tamper,0.500000,12.220905,0.486677,12763.941543
AES-CBC (MATLAB),salt_pepper,0.010000,17.376109,0.422740,7523.893128
AES-CBC (MATLAB),salt_pepper,0.050000,11.557230,0.082304,14270.604416
AES-CBC (MATLAB),salt_pepper,0.100000,10.082049,0.034503,16526.687325
AES-CBC (MATLAB),salt_pepper,0.200000,9.310048,0.011688,17760.443107
AES-CBC (MATLAB),gaussian,0.000010,9.232968,0.010535,17940.471362
AES-CBC (MATLAB),gaussian,0.000100,9.251390,0.007826,17958.380899
AES-CBC (MATLAB),gaussian,0.001000,9.202491,0.011637,17939.683954
AES-CBC (MATLAB),gaussian,0.010000,9.243284,0.009994,17903.038696
Blowfish (MATLAB),contiguous_crop,0.100000,19.635718,0.883060,1809.093746
Blowfish (MATLAB),contiguous_crop,0.200000,16.659020,0.785232,2277.206648
Blowfish (MATLAB),contiguous_crop,0.300000,14.793413,0.688582,2743.602385
Blowfish (MATLAB),contiguous_crop,0.500000,12.641600,0.490176,3552.310392
Blowfish (MATLAB),crop,0.100000,5.659277,0.000286,4058.450300
Blowfish (MATLAB),crop,0.200000,5.659277,0.000286,4058.450300
Blowfish (MATLAB),crop,0.300000,5.659277,0.000286,4058.450300
Blowfish (MATLAB),crop,0.500000,5.659277,0.000286,4058.450300
Blowfish (MATLAB),tamper,0.100000,19.562644,0.882673,5657.954556
Blowfish (MATLAB),tamper,0.200000,16.501677,0.783278,7982.359260
Blowfish (MATLAB),tamper,0.300000,14.489601,0.685534,9873.391704
Blowfish (MATLAB),tamper,0.500000,12.179231,0.486331,12779.871878
Blowfish (MATLAB),salt_pepper,0.010000,19.834055,0.559807,5745.799199
Blowfish (MATLAB),salt_pepper,0.050000,13.688285,0.164767,11430.750915
Blowfish (MATLAB),salt_pepper,0.100000,5.659277,0.000286,4058.450300
Blowfish (MATLAB),salt_pepper,0.200000,5.659277,0.000286,4058.450300
Blowfish (MATLAB),gaussian,0.000010,5.659277,0.000286,4058.450300
Blowfish (MATLAB),gaussian,0.000100,5.659277,0.000286,4058.450300
Blowfish (MATLAB),gaussian,0.001000,5.659277,0.000286,4058.450300
Blowfish (MATLAB),gaussian,0.010000,5.659277,0.000286,4058.450300
ChaCha20 (MATLAB),contiguous_crop,0.100000,19.565508,0.882157,5711.368630
ChaCha20 (MATLAB),contiguous_crop,0.200000,16.444221,0.782475,8012.682760
ChaCha20 (MATLAB),contiguous_crop,0.300000,14.491071,0.684385,9856.183791
ChaCha20 (MATLAB),contiguous_crop,0.500000,12.217130,0.486182,12782.124807
ChaCha20 (MATLAB),crop,0.100000,19.280287,0.401602,6245.408631
ChaCha20 (MATLAB),crop,0.200000,16.270050,0.244799,8757.893900
ChaCha20 (MATLAB),crop,0.300000,14.520101,0.168978,10622.480764
ChaCha20 (MATLAB),crop,0.500000,12.294777,0.092311,13461.856856
ChaCha20 (MATLAB),tamper,0.100000,19.577330,0.882819,5668.533876
ChaCha20 (MATLAB),tamper,0.200000,16.472478,0.783465,8001.105658
ChaCha20 (MATLAB),tamper,0.300000,14.507171,0.685428,9852.755944
ChaCha20 (MATLAB),tamper,0.500000,12.190435,0.486455,12812.264471
ChaCha20 (MATLAB),salt_pepper,0.010000,29.521899,0.883839,1933.943796
ChaCha20 (MATLAB),salt_pepper,0.050000,22.192023,0.576900,4486.415930
ChaCha20 (MATLAB),salt_pepper,0.100000,19.316895,0.402165,6220.767486
ChaCha20 (MATLAB),salt_pepper,0.200000,16.242094,0.240917,8794.439428
ChaCha20 (MATLAB),gaussian,0.000010,29.961377,0.841299,1835.305985
ChaCha20 (MATLAB),gaussian,0.000100,24.428679,0.620066,3468.379509
ChaCha20 (MATLAB),gaussian,0.001000,19.542342,0.376598,6071.372063
ChaCha20 (MATLAB),gaussian,0.010000,15.250420,0.203193,9817.675470
Chaos Circular,contiguous_crop,0.100000,18.072135,0.376338,7163.709769
Chaos Circular,contiguous_crop,0.200000,15.346159,0.233105,9731.681134
Chaos Circular,contiguous_crop,0.300000,13.719820,0.163620,11622.690886
Chaos Circular,contiguous_crop,0.500000,11.720178,0.087391,14375.057445
Chaos Circular,crop,0.100000,17.927357,0.312194,7310.274342
Chaos Circular,crop,0.200000,15.016741,0.191535,10170.375001
Chaos Circular,crop,0.300000,13.391824,0.133827,12188.261304
Chaos Circular,crop,0.500000,11.455462,0.076253,14965.984643
Chaos Circular,tamper,0.100000,18.198248,0.388586,7075.155490
Chaos Circular,tamper,0.200000,15.400080,0.239644,9688.667684
