Algorithm,Attack_Type,Intensity,PSNR,SSIM,SD
ChaCha20 (C),gaussian,0.000010,29.760789,0.839054,1881.003108
ChaCha20 (C),gaussian,0.000100,24.458344,0.620595,3456.115219
ChaCha20 (C),gaussian,0.001000,19.633947,0.377592,5996.519584
ChaCha20 (C),gaussian,0.010000,15.176445,0.198365,9899.159109
DES-CBC (MATLAB),contiguous_crop,0.100000,18.681532,0.890075,1463.617254
DES-CBC (MATLAB),contiguous_crop,0.250000,15.428833,0.745629,2196.102095
DES-CBC (MATLAB),contiguous_crop,0.500000,12.437804,0.495575,3375.051474
DES-CBC (MATLAB),contiguous_crop,0.750000,9.976117,0.248984,4119.851931
DES-CBC (MATLAB),crop,0.100000,5.659277,0.000286,4058.450300
DES-CBC (MATLAB),crop,0.250000,5.659277,0.000286,4058.450300
DES-CBC (MATLAB),crop,0.500000,5.659277,0.000286,4058.450300
DES-CBC (MATLAB),crop,0.750000,5.659277,0.000286,4058.450300
DES-CBC (MATLAB),tamper,0.100000,19.451468,0.891150,5619.953377
DES-CBC (MATLAB),tamper,0.250000,15.472622,0.745591,8808.165583
DES-CBC (MATLAB),tamper,0.500000,12.384281,0.495230,12612.335552
DES-CBC (MATLAB),tamper,0.750000,10.512715,0.247956,15544.748791
DES-CBC (MATLAB),salt_pepper,0.010000,19.625504,0.560819,5892.729271
DES-CBC (MATLAB),salt_pepper,0.050000,5.659277,0.000286,4058.450300
DES-CBC (MATLAB),salt_pepper,0.100000,5.659277,0.000286,4058.450300
DES-CBC (MATLAB),salt_pepper,0.200000,5.659277,0.000286,4058.450300
DES-CBC (MATLAB),gaussian,0.000010,5.659277,0.000286,4058.450300
DES-CBC (MATLAB),gaussian,0.000100,5.659277,0.000286,4058.450300
DES-CBC (MATLAB),gaussian,0.001000,5.659277,0.000286,4058.450300
DES-CBC (MATLAB),gaussian,0.010000,5.659277,0.000286,4058.450300
AES-CBC (MATLAB),contiguous_crop,0.100000,19.786624,0.890694,1621.081560
AES-CBC (MATLAB),contiguous_crop,0.250000,16.411251,0.747455,2281.025549
AES-CBC (MATLAB),contiguous_crop,0.500000,13.366332,0.496828,3458.060518
AES-CBC (MATLAB),contiguous_crop,0.750000,11.001727,0.250229,4204.517903
AES-CBC (MATLAB),crop,0.100000,10.028401,0.034221,16610.261441
AES-CBC (MATLAB),crop,0.250000,9.255688,0.011529,17910.672943
AES-CBC (MATLAB),crop,0.500000,9.251598,0.012102,17859.177525
AES-CBC (MATLAB),crop,0.750000,9.229349,0.008108,17954.665961
AES-CBC (MATLAB),tamper,0.100000,19.521923,0.891468,5623.313182
AES-CBC (MATLAB),tamper,0.250000,15.422896,0.744619,8867.872404
AES-CBC (MATLAB),tamper,0.500000,12.340348,0.493696,12660.965852
AES-CBC (MATLAB),tamper,0.750000,10.517321,0.245914,15573.404812
AES-CBC (MATLAB),salt_pepper,0.010000,17.321895,0.415851,7534.834599
AES-CBC (MATLAB),salt_pepper,0.050000,11.586317,0.078776,14240.078324
AES-CBC (MATLAB),salt_pepper,0.100000,10.024011,0.031905,16629.487510
AES-CBC (MATLAB),salt_pepper,0.200000,9.294214,0.011487,17823.590194
AES-CBC (MATLAB),gaussian,0.000010,9.210440,0.009153,17952.107374
AES-CBC (MATLAB),gaussian,0.000100,9.236460,0.011810,17898.203403
AES-CBC (MATLAB),gaussian,0.001000,9.231927,0.010019,17924.998525
AES-CBC (MATLAB),gaussian,0.010000,9.228437,0.009827,17958.790276
Blowfish (MATLAB),contiguous_crop,0.100000,20.252717,0.892819,1347.291494
Blowfish (MATLAB),contiguous_crop,0.250000,15.774900,0.746783,2157.706619
Blowfish (MATLAB),contiguous_crop,0.500000,12.634745,0.497123,3325.509884
Blowfish (MATLAB),contiguous_crop,0.750000,11.058070,0.249955,4062.235589
Blowfish (MATLAB),crop,0.100000,11.302775,0.072172,14752.316657
Blowfish (MATLAB),crop,0.250000,5.659277,0.000286,4058.450300
Blowfish (MATLAB),crop,0.500000,5.659277,0.000286,4058.450300
Blowfish (MATLAB),crop,0.750000,5.659277,0.000286,4058.450300
Blowfish (MATLAB),tamper,0.100000,19.508405,0.891148,5567.178969
Blowfish (MATLAB),tamper,0.250000,15.426441,0.744608,8845.197770
Blowfish (MATLAB),tamper,0.500000,12.332660,0.493763,12633.800649
Blowfish (MATLAB),tamper,0.750000,10.514012,0.246090,15528.264324
Blowfish (MATLAB),salt_pepper,0.010000,19.832758,0.574642,5720.012199
Blowfish (MATLAB),salt_pepper,0.050000,13.601926,0.160009,11539.885809
Blowfish (MATLAB),salt_pepper,0.100000,11.344190,0.073329,14669.895528
Blowfish (MATLAB),salt_pepper,0.200000,5.659277,0.000286,4058.450300
Blowfish (MATLAB),gaussian,0.000010,5.659277,0.000286,4058.450300
Blowfish (MATLAB),gaussian,0.000100,5.659277,0.000286,4058.450300
Blowfish (MATLAB),gaussian,0.001000,5.659277,0.000286,4058.450300
Blowfish (MATLAB),gaussian,0.010000,5.659277,0.000286,4058.450300
ChaCha20 (MATLAB),contiguous_crop,0.100000,19.509140,0.891209,5595.431051
ChaCha20 (MATLAB),contiguous_crop,0.250000,15.489489,0.746248,8801.236523
ChaCha20 (MATLAB),contiguous_crop,0.500000,12.365908,0.495880,12615.764782
ChaCha20 (MATLAB),contiguous_crop,0.750000,10.517780,0.247847,15522.011266
ChaCha20 (MATLAB),crop,0.100000,19.146636,0.395473,6341.219587
ChaCha20 (MATLAB),crop,0.250000,15.207488,0.198402,9854.213246
ChaCha20 (MATLAB),crop,0.500000,12.214872,0.093054,13548.520296
ChaCha20 (MATLAB),crop,0.750000,10.472932,0.044233,16040.589844
ChaCha20 (MATLAB),tamper,0.100000,19.483174,0.891181,5591.305967
ChaCha20 (MATLAB),tamper,0.250000,15.456089,0.745626,8816.222158
ChaCha20 (MATLAB),tamper,0.500000,12.381543,0.495963,12600.406329
ChaCha20 (MATLAB),tamper,0.750000,10.505586,0.247094,15532.832974
ChaCha20 (MATLAB),salt_pepper,0.010000,29.382663,0.882288,1962.971527
ChaCha20 (MATLAB),salt_pepper,0.050000,22.176843,0.577832,4494.294067
