Algorithm,Attack_Type,Intensity,PSNR,SSIM,SD
DES-CBC (C),contiguous_crop,0.100000,19.796670,0.882603,1787.436055
DES-CBC (C),contiguous_crop,0.200000,16.683012,0.784244,2247.583067
DES-CBC (C),contiguous_crop,0.300000,14.713948,0.686509,2722.862908
DES-CBC (C),contiguous_crop,0.500000,12.414547,0.487964,3540.326887
DES-CBC (C),crop,0.100000,5.659277,0.000286,4058.450300
DES-CBC (C),crop,0.200000,5.659277,0.000286,4058.450300
DES-CBC (C),crop,0.300000,5.659277,0.000286,4058.450300
DES-CBC (C),crop,0.500000,5.659277,0.000286,4058.450300
DES-CBC (C),tamper,0.100000,19.488529,0.882038,5744.570928
DES-CBC (C),tamper,0.200000,16.376050,0.783355,8030.741620
DES-CBC (C),tamper,0.300000,14.463100,0.685946,9869.738914
DES-CBC (C),tamper,0.500000,12.149784,0.487832,12847.116642
DES-CBC (C),salt_pepper,0.010000,20.056347,0.571723,5619.677609
DES-CBC (C),salt_pepper,0.050000,13.513910,0.157355,11643.667455
DES-CBC (C),salt_pepper,0.100000,11.394226,0.073580,14647.531688
DES-CBC (C),salt_pepper,0.200000,5.659277,0.000286,4058.450300
DES-CBC (C),gaussian,0.000010,5.659277,0.000286,4058.450300
DES-CBC (C),gaussian,0.000100,5.659277,0.000286,4058.450300
DES-CBC (C),gaussian,0.001000,5.659277,0.000286,4058.450300
DES-CBC (C),gaussian,0.010000,5.659277,0.000286,4058.450300
AES-CBC (C),contiguous_crop,0.100000,18.900625,0.881958,2111.288535
AES-CBC (C),contiguous_crop,0.200000,15.802852,0.783985,2544.528048
AES-CBC (C),contiguous_crop,0.300000,13.861502,0.686921,3018.340489
AES-CBC (C),contiguous_crop,0.500000,11.555051,0.488534,3839.299397
AES-CBC (C),crop,0.100000,5.659277,0.000286,4058.450300
AES-CBC (C),crop,0.200000,5.659277,0.000286,4058.450300
AES-CBC (C),crop,0.300000,5.659277,0.000286,4058.450300
AES-CBC (C),crop,0.500000,5.659277,0.000286,4058.450300
AES-CBC (C),tamper,0.100000,19.587561,0.882353,5627.163538
AES-CBC (C),tamper,0.200000,16.516151,0.783670,7957.357403
AES-CBC (C),tamper,0.300000,14.493877,0.685416,9823.685957
AES-CBC (C),tamper,0.500000,12.209882,0.487625,12742.641139
AES-CBC (C),salt_pepper,0.010000,17.535405,0.446398,7342.832269
AES-CBC (C),salt_pepper,0.050000,11.541398,0.081876,14300.107456
AES-CBC (C),salt_pepper,0.100000,5.659277,0.000286,4058.450300
AES-CBC (C),salt_pepper,0.200000,5.659277,0.000286,4058.450300
AES-CBC (C),gaussian,0.000010,5.659277,0.000286,4058.450300
AES-CBC (C),gaussian,0.000100,5.659277,0.000286,4058.450300
AES-CBC (C),gaussian,0.001000,5.659277,0.000286,4058.450300
AES-CBC (C),gaussian,0.010000,5.659277,0.000286,4058.450300
Blowfish-CBC (C),contiguous_crop,0.100000,21.005122,0.885130,1725.453791
Blowfish-CBC (C),contiguous_crop,0.200000,17.611102,0.786427,2245.801819
Blowfish-CBC (C),contiguous_crop,0.300000,15.439393,0.688440,2730.930375
Blowfish-CBC (C),contiguous_crop,0.500000,12.914386,0.491434,3595.615935
Blowfish-CBC (C),crop,0.100000,5.659277,0.000286,4058.450300
Blowfish-CBC (C),crop,0.200000,5.659277,0.000286,4058.450300
Blowfish-CBC (C),crop,0.300000,5.659277,0.000286,4058.450300
Blowfish-CBC (C),crop,0.500000,5.659277,0.000286,4058.450300
Blowfish-CBC (C),tamper,0.100000,19.759865,0.883052,5567.911643
Blowfish-CBC (C),tamper,0.200000,16.474671,0.783979,7988.397682
Blowfish-CBC (C),tamper,0.300000,14.508767,0.686826,9834.138243
Blowfish-CBC (C),tamper,0.500000,12.228173,0.487918,12735.592195
Blowfish-CBC (C),salt_pepper,0.010000,20.105517,0.583765,5549.849841
Blowfish-CBC (C),salt_pepper,0.050000,5.659277,0.000286,4058.450300
Blowfish-CBC (C),salt_pepper,0.100000,5.659277,0.000286,4058.450300
Blowfish-CBC (C),salt_pepper,0.200000,5.659277,0.000286,4058.450300
Blowfish-CBC (C),gaussian,0.000010,5.659277,0.000286,4058.450300
Blowfish-CBC (C),gaussian,0.000100,5.659277,0.000286,4058.450300
Blowfish-CBC (C),gaussian,0.001000,5.659277,0.000286,4058.450300
Blowfish-CBC (C),gaussian,0.010000,5.659277,0.000286,4058.450300
ChaCha20 (C),contiguous_crop,0.100000,19.526859,0.881336,5696.670331
ChaCha20 (C),contiguous_crop,0.200000,16.427149,0.782581,7998.616516
ChaCha20 (C),contiguous_crop,0.300000,14.486828,0.684504,9823.589296
ChaCha20 (C),contiguous_crop,0.500000,12.219539,0.486918,12760.347435
ChaCha20 (C),crop,0.100000,19.208605,0.395968,6308.085863
ChaCha20 (C),crop,0.200000,16.232527,0.241539,8786.946246
ChaCha20 (C),crop,0.300000,14.455110,0.167197,10707.080164
ChaCha20 (C),crop,0.500000,12.248673,0.092123,13500.484420
ChaCha20 (C),tamper,0.100000,19.648869,0.883094,5608.931032
ChaCha20 (C),tamper,0.200000,16.444463,0.784033,7960.377974
ChaCha20 (C),tamper,0.300000,14.517998,0.685713,9791.571651
ChaCha20 (C),tamper,0.500000,12.216762,0.487789,12746.421159
ChaCha20 (C),salt_pepper,0.010000,29.196426,0.876374,2006.203250
ChaCha20 (C),salt_pepper,0.050000,22.147475,0.579082,4503.005179
ChaCha20 (C),salt_pepper,0.100000,19.218821,0.398439,6295.587698
ChaCha20 (C),salt_pepper,0.200000,16.215271,0.240238,8828.097069
ChaCha20 (C),gaussian,0.000010,29.175004,0.829649,2012.089044
ChaCha20 (C),gaussian,0.000100,24.264546,0.618495,3535.698089
ChaCha20 (C),gaussian,0.001000,19.581792,0.377166,6037.838442
ChaCha20 (C),gaussian,0.010000,15.172337,0.200035,9913.022838
DES-CBC (MATLAB),contiguous_crop,0.100000,18.053790,0.881082,1914.040724
DES-CBC (MATLAB),contiguous_crop,0.200000,15.189883,0.783275,2362.815926
DES-CBC (MATLAB),contiguous_crop,0.300000,13.453926,0.687223,2817.552774
DES-CBC (MATLAB),contiguous_crop,0.500000,11.431521,0.488837,3654.894588
DES-CBC (MATLAB),crop,0.100000,5.659277,0.000286,4058.450300
DES-CBC (MATLAB),crop,0.200000,5.659277,0.000286,4058.450300
DES-CBC (MATLAB),crop,0.300000,5.659277,0.000286,4058.450300
DES-CBC (MATLAB),crop,0.500000,5.659277,0.000286,4058.450300
DES-CBC (MATLAB),tamper,0.100000,19.536722,0.882532,5651.018305
DES-CBC (MATLAB),tamper,0.200000,16.424354,0.783121,8027.352724
DES-CBC (MATLAB),tamper,0.300000,14.482585,0.685796,9845.746692
DES-CBC (MATLAB),tamper,0.500000,12.181896,0.486997,12775.597222
DES-CBC (MATLAB),salt_pepper,0.010000,19.978166,0.568593,5665.288922
DES-CBC (MATLAB),salt_pepper,0.050000,5.659277,0.000286,4058.450300
DES-CBC (MATLAB),salt_pepper,0.100000,5.659277,0.000286,4058.450300
DES-CBC (MATLAB),salt_pepper,0.200000,5.659277,0.000286,4058.450300
DES-CBC (MATLAB),gaussian,0.000010,5.659277,0.000286,4058.450300
DES-CBC (MATLAB),gaussian,0.000100,5.659277,0.000286,4058.450300
DES-CBC (MATLAB),gaussian,0.001000,5.659277,0.000286,4058.450300
DES-CBC (MATLAB),gaussian,0.010000,5.659277,0.000286,4058.450300
AES-CBC (MATLAB),contiguous_crop,0.100000,18.900625,0.881958,2111.288535
AES-CBC (MATLAB),contiguous_crop,0.200000,15.802852,0.783985,2544.528048
AES-CBC (MATLAB),contiguous_crop,0.300000,13.861502,0.686921,3018.340489
AES-CBC (MATLAB),contiguous_crop,0.500000,11.555051,0.488534,3839.299397
AES-CBC (MATLAB),crop,0.100000,10.023488,0.030488,16670.484336
AES-CBC (MATLAB),crop,0.200000,9.357711,0.013482,17737.366700
AES-CBC (MATLAB),crop,0.300000,9.224162,0.007852,17924.995036
AES-CBC (MATLAB),crop,0.500000,9.191629,0.008773,17982.888530
AES-CBC (MATLAB),tamper,0.100000,19.587561,0.882353,5627.163538
AES-CBC (MATLAB),tamper,0.200000,16.516151,0.783670,7957.357403
AES-CBC (MATLAB),tamper,0.300000,14.493877,0.685416,9823.685957
AES-CBC (MATLAB),tamper,0.500000,12.209882,0.487625,12742.641139
AES-CBC (MATLAB),salt_pepper,0.010000,17.097309,0.407718,7754.038948
AES-CBC (MATLAB),salt_pepper,0.050000,11.567345,0.081159,14266.592436
AES-CBC (MATLAB),salt_pepper,0.100000,10.026452,0.032608,16715.257933
AES-CBC (MATLAB),salt_pepper,0.200000,9.336385,0.012058,17803.583187
AES-CBC (MATLAB),gaussian,0.000010,9.252129,0.011369,17887.701664
AES-CBC (MATLAB),gaussian,0.000100,9.224916,0.010021,17934.740879
AES-CBC (MATLAB),gaussian,0.001000,9.239652,0.009033,17901.393364
AES-CBC (MATLAB),gaussian,0.010000,9.226569,0.011842,17935.359364
Blowfish (MATLAB),contiguous_crop,0.100000,21.005122,0.885130,1725.453791
Blowfish (MATLAB),contiguous_crop,0.200000,17.611102,0.786427,2245.801819
