Algorithm,Run_Index,Time_Enc_s,Time_Dec_s,NPCR_percent,UACI_percent,Entropy,Corr_Hor,Corr_Ver,Corr_Diag
DES-CBC (C),1,0.00078100,0.00066900,99.612427,33.380306,7.997079,-0.022454,0.002450,-0.004521
AES-CBC (C),1,0.00008200,0.00003400,99.644470,33.571245,7.997160,-0.008489,-0.014440,0.016864
Blowfish-CBC (C),1,0.00046400,0.00038500,99.607849,33.520131,7.997748,0.008464,0.009062,-0.001098
ChaCha20 (C),1,0.00013100,0.00003100,0.001526,0.000006,7.997281,-0.015373,-0.013584,-0.020218
DES-CBC (MATLAB*),1,1.14205700,0.01416300,98.867507,33.126309,7.989678,0.022049,0.044655,-0.001452
AES-CBC (MATLAB*),1,0.45066700,0.02100100,99.629211,33.478794,7.997552,-0.016214,-0.008726,0.011278
Blowfish-CBC (MATLAB*),1,0.24685300,0.01170700,99.603271,33.498493,7.997050,-0.002910,-0.009320,-0.006075
ChaCha20 (MATLAB*),1,0.00755200,0.00649700,0.001526,0.000006,7.997307,-0.004617,-0.012522,-0.013142
Chaos Circular Shifts (MATLAB),1,0.01968200,0.02575500,99.583435,33.525570,7.997179,-0.000011,0.007384,-0.037403
3D-Logistic-Chirikov (MATLAB),1,0.52114300,0.49405400,0.000000,0.000000,7.997094,-0.012287,0.007897,-0.003818
Chaos Bit Shuffling (MATLAB - Orig),1,2.12618800,2.33237700,99.574280,33.386422,7.997478,-0.001425,-0.025888,0.018051
Chaos Bit Shuffling (MATLAB* - Opt),1,0.27090900,0.20694500,99.597168,33.528065,7.996615,-0.000871,0.011985,0.003501
Hyperchaotic and 2D Sensing (MATLAB*),1,0.02224400,0.00201900,99.681091,33.469705,7.996667,0.010511,-0.007673,-0.036639
Hu & Tian - Two-Stage Logistic (MATLAB*),1,0.00928600,0.00548100,0.001526,0.000006,7.997528,-0.001721,-0.009691,-0.032961
Hyperchaotic Adaptive (MATLAB*),1,0.30500400,0.33265500,99.638367,33.701064,7.984898,0.009670,-0.001590,0.001561
